nosql,libgssapi-krb5-2, 119442,193,81,155
nosql,preview-latex-style, 185554,1,1,155
nosql,libcurl3-gnutls, 182778,101,64,155
nosql,python3-apt, 141530,35,17,155
nosql,libzip4, 36256,2,2,155
nosql,libplexus-io-java, 44696,7,6,155
nosql,libgraphite2-3, 54622,31,20,155
nosql,libapparmor1, 29784,2,2,155
nosql,libpng-dev,,6,4,155
nosql,openjdk-6-jre, 192186,1,1,155
nosql,libstartup-notification0, 18768,1,1,155
nosql,liblsan0, 109704,86,33,155
nosql,libleveldb1v5, 132092,2,2,155
nosql,libplexus-utils-java, 209550,92,6,155
nosql,libdb5.3, 669842,492,113,155
nosql,libpangoft2-1.0-0, 33446,49,20,155
nosql,python3-setuptools, 88912,4,4,155
nosql,netcat-traditional, 60678,1,1,155
nosql,gnupg, 623980,26,22,155
nosql,gsfonts, 3373970,45,28,155
nosql,libpcre32-3, 132956,4,2,155
nosql,python-chardet, 96170,16,16,155
nosql,libmirclient9, 149076,6,4,155
nosql,libgtk-3-0, 2286750,8,2,155
nosql,libcdio-cdda1, 15912,4,2,155
nosql,man-db, 857944,1,1,155
nosql,libfftw3-double3, 717764,8,4,155
nosql,erlang-odbc, 46906,7,6,155
nosql,libfreetype6, 311988,352,30,155
nosql,apt-utils, 180168,19,17,155
nosql,erlang-syntax-tools, 322154,21,6,155
nosql,libjansi-java, 57384,6,2,155
nosql,libegl1-mesa, 64412,12,4,155
nosql,tk8.6, 12322,1,1,155
nosql,libpolyglot-maven-java, 77318,1,1,155
nosql,apache2-bin, 921930,3,3,155
nosql,testng, 804704,1,1,155
nosql,libassuan0, 33362,3,1,155
nosql,openssh-sftp-server, 38318,9,9,155
nosql,libbcpg-java, 201514,1,1,155
nosql,libaprutil1, 78260,21,3,155
nosql,node-sigmund, 3818,2,2,155
nosql,libsdl1.2debian, 165476,2,2,155
nosql,libpython3.4-dev, 34425482,11,7,155
nosql,x11proto-kb-dev, 224462,4,2,155
nosql,libicu55, 7652486,90,47,155
nosql,libasn1-8-heimdal, 174838,492,73,155
nosql,python-support, 26672,3,3,155
nosql,libevent-core-2.0-5, 69376,12,3,155
nosql,python-colorama, 21398,15,15,155
nosql,libbcprov-java, 1969108,1,1,155
nosql,node-ini, 4770,2,2,155
nosql,libsasl2-modules, 47936,1,1,155
nosql,ubuntu-mono, 176072,2,2,155
nosql,libgirepository-1.0-1, 89438,32,16,155
nosql,libterm-readkey-perl, 28086,7,7,155
nosql,libxcb-shape0, 5956,24,20,155
nosql,libc6.1,,4,4,155
nosql,libobjenesis-java, 34844,9,6,155
nosql,lib32asan2, 264348,4,1,155
nosql,libatk1.0-data, 16858,23,20,155
nosql,erlang-runtime-tools, 162876,48,7,155
nosql,libxext-dev, 82090,32,2,155
nosql,ncurses-bin, 138536,1,1,155
nosql,debhelper, 731820,1,1,155
nosql,fonts-sil-gentium, 238252,1,1,155
nosql,java-wrappers, 9456,2,1,155
nosql,libc6-dev, 1966552,251,42,155
nosql,automaken,,1,1,155
nosql,libgeronimo-jta-1.0.1b-spec-java,,1,1,155
nosql,bsh, 4402,7,6,155
nosql,lib32mpx0, 11054,4,1,155
nosql,qdbus, 30078,4,4,155
nosql,libprotobuf9v5, 325862,10,3,155
nosql,libnspr4-dev, 211120,3,3,155
nosql,python-sqlite, 20880,1,1,155
nosql,lib32stdc++-5-dev, 636532,1,1,155
nosql,perl-dbdabi-94,,8,8,155
nosql,libegl1-x11,,2,2,155
nosql,gsfonts-x11, 9108,45,28,155
nosql,libustr-1.0-1, 68404,167,102,155
nosql,libpcsclite1, 21384,40,19,155
nosql,libpcre16-3, 141336,4,2,155
nosql,vim-runtime, 4983584,5,5,155
nosql,libxcb-randr0-dev, 18208,4,2,155
nosql,libxxf86vm1, 10562,61,26,155
nosql,erlang-webtool, 35748,17,7,155
nosql,java7-runtime,,6,6,155
nosql,python-apt-common, 18328,38,17,155
nosql,libgif4, 28554,20,18,155
nosql,libsoup-gnome2.4-1, 5038,2,2,155
nosql,libmcrypt4, 62974,1,1,155
nosql,lib32itm1, 29618,4,1,155
nosql,ttf-adf-universalis, 221028,1,1,155
nosql,libfftw3-quad3, 550258,8,4,155
nosql,libuuid1, 15008,171,99,155
nosql,golang-doc, 2352178,1,1,155
nosql,libtextwrap1, 10132,10,10,155
nosql,libtexluajit2, 213382,4,1,155
nosql,x11-xkb-utils, 153180,2,1,155
nosql,bsdutils, 49478,1,1,155
nosql,python-urlgrabber, 42446,1,1,155
nosql,libc6-i386, 2271928,22,1,155
nosql,libavcodec-extra-56,,8,2,155
nosql,libxpp3-java, 363764,4,2,155
nosql,libglapi-mesa, 23388,37,26,155
nosql,libxml-commons-resolver1.1-java, 91600,7,6,155
nosql,cmake-data, 1028686,11,11,155
nosql,libllvm3.6v5, 8083136,40,27,155
nosql,dh-python, 69304,34,22,155
nosql,libqt4-dbus, 6516,4,4,155
nosql,libtinfo-dev, 77176,1,1,155
nosql,binutils-mingw-w64-i686, 1738808,2,1,155
nosql,libunistring0, 279352,1,1,155
nosql,libxcb-randr0, 14906,4,2,155
nosql,liberror-perl, 21062,37,37,155
nosql,libprotoc9v5, 272128,3,1,155
nosql,gstreamer1.0-plugins-base, 493662,2,2,155
nosql,libcloog-isl4, 60840,3,1,155
